AirportCodeCityNameWorldAreaCode
AAC,ALARISH,ARABREP.OFEGYPT,591
AAE,ANNABA,ALGERIA,500
AAF,APALACHICOLA,FLORIDA,USA,33
AAH,AACHEN,GERMANY,429
AAI,ARRAIAS,BRAZIL,316
AAJ,AWARADAM,REP.OFSURINAME,379
AAK,ARANUKA,REP.OFKIRIBATI,824
AAL,AALBORG,DENMARK,419
AAM,MALAMALA,SOUTHAFRICA,562
AAN,ALAIN,UNITEDARABEMIRATES,678
AAO,ANACO,VENEZUELA,388
AAQ,ANAPA,RUSSIA,475
AAR,AARHUS,DENMARK,419
AAS,APALAPSILI,INDONESIA,832
AAT,ALTAY,CHINA,713
AAU,ASAU,W.SAMOA,892
AAV,ALAH,PHILIPPINES,766
AAW,ABBOTTABAD,PAKISTAN,764
AAX,ARAXA,BRAZIL,316
AAY,ALGHAYDAH,YEMEN,694
ABA,ABAKAN,RUSSIA,770
ABD,ABADAN,IRAN,632
ABE,ALLENTOWN,PENNSYLVANIA,USA,23
ABF,ABAIANG,REP.OFKIRIBATI,824
ABG,ABINGDON,QLD.,AUSTRALIA,802
ABH,ALPHA,QLD.,AUSTRALIA,802
ABI,ABILENE,TEXAS,USA,74
ABJ,ABIDJAN,IVORYCOAST,533
ABK,KABRIDAR,ETHIOPIA,522
ABL,AMBLER,ALASKA,USA,1
ABM,BAMAGA,QLD.,AUSTRALIA,802
ABN,ALBINA,SURINAM,379
ABO,ABOISSO,COTED'IVOIRE,533
ABP,ATKAMBA,PAPUANEWGUINEA,804
ABQ,ALBUQUERQUE,NEWMEXICO,USA,86
ABR,ABERDEEN,SOUTHDAKOTA,USA,67
ABS,ABUSIMBEL,ARABREP.OFEGYPT,591
ABT,AL-BAHA,SAUDIARABIA,670
ABU,ATAMBUA,INDONESIA,832
ABV,ABUJA,NIGERIA,555
ABW,ABAU,PAPUANEWGUINEA,804
ABX,ALBURY,N.S.W.,AUSTRALIA,802
ABY,ALBANY,GEORGIA,USA,34
ABZ,ABERDEEN,SCOTLAND,(U.K.),493
ACA,ACAPULCO,MEXICO,148
ACB,BELLAIRE,MICHIGAN,USA,43
ACC,ACCRA,GHANA,529
ACD,ACANDI,COLOMBIA,327
ACE,ARRECIFE,CANARYIS.,482
ACH,ALTENRHEIN,SWITZERLAND,486
ACI,ALDERNEY,CHANNELIS.,(U.K.),493
ACK,NANTUCKET,MASSACHUSETTS,USA,13
ACL,AGUACLARA,COLOMBIA,327
ACM,ARICA,COLOMBIA,327
ACN,CIUDADACUNA,MEXICO,148
ACO,ASCONA,SWITZERLAND,486
ACR,ARARACUARA,COLOMBIA,327
ACS,ACHINSK,RUSSIA,770
ACT,WACO,TEXAS,USA,74
ACU,ACHUTUPO,PANAMAREP.,162
ACV,EUREKA/ARCATA,CALIFORNIA,USA,91
ACY,ATLANTICCITY,NEWJERSEY,USA,21
ADA,ADANA,TURKEY,679
ADB,IZMIR-ADNANMEND,TURKEY,679
ADD,ADDISABABA,ETHIOPIA,522
ADE,ADEN,YEMEN,694
ADG,ADRIAN,MICHIGAN,USA,43
ADH,ALDAN,RUSSIA,770
ADI,ARANDIS,S.W.AFRICA,575
ADJ,AMMAN-CIVIL,JORDAN,639
ADK,ADAKISLAND,ALASKA,USA,1
ADL,ADELAIDE,S.AUSTRALIA,802
