From,To,weight
ABE,CLE,805
ABE,CVG,247
ABE,JFK,3
ABE,LGA,9
ABE,PHL,2
ACY,JFK,1
ACY,LGA,2
ALB,CLE,1113
ALB,CVG,914
ALB,EWR,611
ALB,JFK,367
ALB,PHL,449
BUF,CLE,633
BUF,CVG,160
BUF,EWR,1469
BUF,JFK,3679
BUF,PHL,685
CAK,CVG,40
CAK,LGA,793
CHO,CVG,36
CLE,ABE,805
CLE,ALB,1106
CLE,BUF,620
CLE,CMH,17
CLE,CVG,493
CLE,DAY,869
CLE,EWR,2105
CLE,JFK,1392
CLE,LGA,2936
CLE,MDT,58
CLE,ORF,2
CLE,PHL,674
CLE,RIC,905
CLE,ROC,928
CLE,SYR,696
CMH,CLE,24
CMH,CVG,1185
CMH,EWR,1646
CMH,JFK,515
CMH,LGA,2355
CMH,PHL,996
CMH,SYR,1
CVG,ABE,248
CVG,ALB,912
CVG,BUF,160
CVG,CAK,39
CVG,CHO,35
CVG,CLE,493
CVG,CMH,795
CVG,DAY,746
CVG,EWR,3094
CVG,HPN,126
CVG,JFK,1532
CVG,LGA,3645
CVG,MDT,1007
CVG,ORF,450
CVG,PHL,1671
CVG,PIT,1292
CVG,RIC,786
CVG,ROA,1
CVG,ROC,730
CVG,SCE,23
CVG,SYR,831
CVG,TOL,20
DAY,CLE,862
DAY,CVG,755
DAY,EWR,948
ERI,PIT,1
EWR,ALB,619
EWR,BUF,1481
EWR,CLE,2103
EWR,CMH,1653
EWR,CVG,3095
EWR,DAY,946
EWR,LGA,1
EWR,ORF,379
EWR,PHL,19
EWR,PIT,677
EWR,RIC,1576
EWR,ROC,925
EWR,SYR,993
HPN,CVG,126
HPN,EWR,1
HPN,JFK,2
HPN,PIT,1
JFK,ALB,364
JFK,BUF,3674
JFK,CLE,1392
JFK,CMH,571
JFK,CVG,1346
JFK,HPN,1
JFK,LGA,2
JFK,ORF,277
JFK,PHL,587
JFK,PIT,2244
JFK,RIC,1694
JFK,ROC,2425
JFK,SYR,1824
LGA,CAK,793
LGA,CLE,2920
LGA,CMH,2350
LGA,CVG,3635
LGA,PHF,770
LGA,PHL,1
LGA,PIT,1297
LGA,RIC,1336
MDT,CLE,58
MDT,CVG,1008
MDT,LGA,2
ORF,CLE,2
ORF,CVG,499
ORF,EWR,380
ORF,JFK,277
PHF,LGA,767
PHL,ALB,448
PHL,BUF,365
PHL,CLE,674
PHL,CMH,994
PHL,CVG,1583
PHL,EWR,19
PHL,JFK,675
PHL,LGA,4
PHL,ORF,292
PHL,PIT,3188
PHL,RIC,387
PHL,SYR,334
PIT,CVG,1288
PIT,EWR,671
PIT,JFK,2249
PIT,LGA,936
PIT,PHL,4169
RIC,CLE,905
RIC,CVG,779
RIC,EWR,1576
RIC,JFK,1703
RIC,LGA,1337
RIC,ORF,1
RIC,PHL,387
ROA,CVG,2
ROC,CLE,921
ROC,CVG,724
ROC,EWR,933
ROC,JFK,2435
SCE,CVG,23
SYR,CAK,1
SYR,CLE,686
SYR,CVG,831
SYR,EWR,1002
SYR,JFK,1825
SYR,PHL,333
TOL,CVG,21
