Origin,Destination,Count
ABI,DFW,2660
ABQ,DAL,3078
ABQ,DEN,4318
ABQ,DFW,2888
ABQ,PHX,5265
AMA,DAL,2669
AMA,DFW,2556
ANC,FAI,3217
ANC,SEA,6257
ASE,DEN,3992
ATL,BHM,2871
ATL,BMI,2509
ATL,BNA,3096
ATL,BOS,5990
ATL,BTR,2665
ATL,BUF,3578
ATL,BWI,5978
ATL,CAK,3902
ATL,CHS,4492
ATL,CLE,2865
ATL,CLT,6720
ATL,CVG,2810
ATL,DAY,4372
ATL,DCA,7289
ATL,DEN,5726
ATL,DFW,9847
ATL,DTW,5612
ATL,EWR,8028
ATL,FLL,7665
ATL,FNT,3132
ATL,GPT,3441
ATL,GSO,2866
ATL,HOU,3593
ATL,HSV,2627
ATL,IAD,5309
ATL,IAH,5268
ATL,ICT,3146
ATL,IND,3517
ATL,JAN,2694
ATL,JAX,5656
ATL,LAS,4766
ATL,LAX,5406
ATL,LGA,10506
ATL,LIT,2527
ATL,MCI,4140
ATL,MCO,9613
ATL,MDW,3256
ATL,MEM,4866
ATL,MGM,2513
ATL,MIA,6628
ATL,MKE,3610
ATL,MLI,2590
ATL,MSP,5368
ATL,MSY,4695
ATL,ORD,7677
ATL,ORF,2784
ATL,PBI,4263
ATL,PFN,2548
ATL,PHF,4158
ATL,PHL,6915
ATL,PHX,4603
ATL,PIT,4555
ATL,PNS,4429
ATL,RDU,5411
ATL,RIC,4532
ATL,RSW,4193
ATL,SAN,2857
ATL,SAT,3239
ATL,SAV,3892
ATL,SDF,2754
ATL,SEA,2574
ATL,SFO,3462
ATL,SLC,2860
ATL,SRQ,3326
ATL,STL,3958
ATL,TPA,7311
ATL,VPS,3046
AUS,DAL,5573
AUS,DEN,2673
AUS,DFW,5506
AUS,IAH,3691
AUS,ORD,2514
AUS,PHX,2783
BDL,BWI,2880
BDL,ORD,3131
BHM,ATL,2876
BMI,ATL,2511
BNA,ATL,3097
BNA,BWI,2502
BNA,DEN,2529
BNA,DFW,2859
